"CaseID","CASEID_NEW","qflag","weight1","weight1_freqwt","weight2","weight1a","weight1a_freqwt","weight_combo","weight_combo_freqwt","duration","speed_flag","consent","xlgb","S1","S2","S3","DOV_Branch","Q3_Refused","Q4","Q5","Q6A","Q6B","Q9","Q10","Q11","Q12","Q14","Q15A7","Q16","Q16_Refused","Q17A","Q17B","Q17C","Q17D","Q19","Q20","Q21A_Year","Q21A_Month","Q21B_Year","Q21B_Month","Q21C_Year","Q21C_Month","Q21D_Year","Q21D_Month","w6_identity","w6_outness","w6_outness_timing","Q23","Q24_Refused","Q25","Q26","Q27","Q28","w6_friend_connect_1","w6_friend_connect_2","w6_friend_connect_3","w6_friend_connect_4","w6_friend_connect_Refused","Q32","Q34","Q35_Refused","w6_sex_frequency","w6_otherdate","w6_how_many","w6_how_meet_Refused","w6_otherdate_app","w6_how_many_app","Past_Partner_Q1","w6_relationship_end_nonmar","w6_breakup_nonmar","w6_relationship_end_mar","w6_who_breakup","Q5_2","Q6A_2","Q9B_2","Q10_2","Q11_2","Q12_2","Q14_2","Q15A7_2_1","Q16_2","Q16_2_Codes","Q17B_2","Q17C_2","Q17D_2","Q20_2","Q21A_2_Year","Q21A_2_Month","Q21B_2_Year","Q21B_2_Month","Q21C_2_Year","Q21C_2_Month","Q21D_2_Year","Q21D_2_Month","Q21E_2_Year","Q21E_2_Month","Q21F_2_start_range","Q21F_2_Year","Q21F_2_Month","w6_identity_2","w6_outness_2","w6_outness_timing_2","Q23_2","Q25_2","Q26_2","Q27_2","Q28_2","w6_friend_connect_2_1","w6_friend_connect_2_2","w6_friend_connect_2_3","w6_friend_connect_2_4","w6_friend_connect_2_Refused","Q32_2","w6_otherdate_2","w6_how_many_2","w6_otherdate_app_2","w6_how_many_app_2","partyid7","PERSNET_hom","ppc10017","ppc21310","ppp20071","ppp20072","ppage","ppagecat","ppagect4","ppeduc","ppeducat","ppethm","ppgender","pphhhead","pphhsize","pphouse","ppincimp","ppmarit","ppmsacat","PPREG4","ppreg9","pprent","PPT01","PPT25","PPT612","PPT1317","PPT18OV","ppwork","Race_1","Race_2","Race_3","Race_4","Race_5","Race_6","race1","race2","race3","race4","race5","race6","race7","race8","race9","race10","race11","race12","race13","race14","race15","w6_took_the_survey","w6_prior_identity_lgb","w6_same_sex_couple","w6_same_sex_couple_gender","w6_q4","w6_q5","w6_q6a","w6_q6b","w6_q9","w6_q10","w6_q11","w6_q12","w6_q14","w6_q15a1_truncated","w6_q15a4_truncated","w6_q15a7","w6_q16","w6_q17","w6_attraction","w6_q19","w6_q20","w6_q21a_year","w6_q21a_month","w6_q21a_month_flag","w6_q21b_year","w6_q21b_month","w6_q21b_month_flag","w6_q21c_year","w6_q21c_month","w6_q21c_month_flag","w6_q21d_year","w6_q21d_month","w6_q21e_year","w6_q21e_month","w6_q21f_year","w6_q21f_month","w6_identity_all","w6_outness_all","w6_outness_timing_all","w6_q23","w6_q24_length","w6_q25","w6_q26","w6_q27","w6_q28","w6_friend_connect_1_all","w6_friend_connect_2_all","w6_friend_connect_3_all","w6_friend_connect_4_all","w6_q32","w6_q34","w6_otherdate_all","w6_how_many_all","w6_otherdate_app_all","w6_how_many_app_all","w6_number_people_met","w6_otherdate_dichotomous","w6_married","relate_duration_at_w6_years","w6_number_people_met_app","weight_combo_v2","partnership_status","female","year_fraction_met","year_fraction_relstart","age_when_met","time_from_met_to_rel","year_fraction_first_cohab","time_from_rel_to_cohab","hcm2017q24_R_cowork","hcm2017q24_R_friend","hcm2017q24_R_family","hcm2017q24_R_sig_other","hcm2017q24_R_neighbor","hcm2017q24_P_cowork","hcm2017q24_P_friend","hcm2017q24_P_family","hcm2017q24_P_sig_other","hcm2017q24_P_neighbor","hcm2017q24_btwn_I_cowork","hcm2017q24_btwn_I_friend","hcm2017q24_btwn_I_family","hcm2017q24_btwn_I_sig_other","hcm2017q24_btwn_I_neighbor","hcm2017q24_school","hcm2017q24_college","hcm2017q24_mil","hcm2017q24_church","hcm2017q24_vol_org","hcm2017q24_customer","hcm2017q24_bar_restaurant","hcm2017q24_party","hcm2017q24_internet_other","hcm2017q24_internet_dating","hcm2017q24_internet_soc_network","hcm2017q24_internet_game","hcm2017q24_internet_chat","hcm2017q24_internet_org","hcm2017q24_public","hcm2017q24_blind_date","hcm2017q24_vacation","hcm2017q24_single_serve_nonint","hcm2017q24_business_trip","hcm2017q24_work_neighbors","hcm2017q24_met_online","hcm2017_q24_length","hcm2017q24_summary_all_codes","w6_relationship_quality","hcm2017q24_met_through_family","hcm2017q24_met_through_friend","hcm2017q24_met_through_as_nghbrs","hcm2017q24_met_as_through_cowork","w6_subject_race","interracial_5cat","partner_mother_yrsed","subject_mother_yrsed","partner_yrsed","subject_yrsed"
2,2014039,1,NA,NA,0.8945,NA,NA,0.277188360691071,19240,9,0,1,1,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1991,9,9,3,11,1,1,NA,1,NA,3,2,83,3,83,3,NA,NA,NA,NA,83,6,2,NA,NA,4,3,14,1,2,NA,2,2,0,0,0,1,0,3,2,2,1,NA,5,1,1,1,-2,6,30,2,2,11,3,1,1,1,1,1,11,3,1,1,2,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,26,9,9,3,11,1,1,1,1,1,3,NA,2,2017,3,0,2017,3,0,NA,NA,NA,NA,NA,2017,6,NA,NA,4,3,13,1,232,2,NA,2,2,0,0,0,1,3,NA,2,2,1,NA,3.5,1,0,NA,0,0.390050262212753,3,0,2017.20837402344,2017.20837402344,30,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,232,1,NA,0,0,0,0,1,0,12,14,12,14
3,2019003,1,0.9078,71115,NA,0.9026,70707,1.02062129974365,70841,11,0,1,2,1,NA,NA,1,NA,1,NA,1,1,52,13,9,3,12,1,1,NA,1,NA,1,NA,1,NA,49,5,61,8,62,2,62,2,1,NA,NA,3,NA,2,2,2,2,0,0,0,1,0,1,1,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-2,1,1,2,6,55,5,3,13,4,1,2,1,4,1,18,1,1,2,3,1,0,0,0,2,2,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,1,1,52,13,9,3,12,1,1,1,1,1,1,1,NA,1983,5,0,1995,8,0,1996,2,NA,1996,2,NA,NA,NA,NA,1,NA,NA,3,213,2,2,2,2,0,0,0,1,1,1,1,NA,NA,NA,0,0,1,21.9166660308838,NA,0.999372541904449,1,1,1983.375,1995.625,21,12.25,1996.125,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,2,5,0,0,0,1,1,0,12,16,17,17
5,2145527,1,0.7205,56442,NA,0.7164,56121,0.810074329376221,56227,7,0,1,2,1,NA,NA,1,NA,2,NA,1,1,45,11,5,5,4,1,0,NA,1,NA,NA,1,1,NA,72,1,72,6,72,7,74,5,1,NA,NA,1,NA,2,2,2,2,0,0,0,1,0,3,2,-1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,3,47,4,3,13,4,1,1,1,5,1,20,1,1,3,5,1,0,1,2,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,NA,1,1,45,11,5,5,4,39,39,1,0,1,1,1,NA,2006,1,0,2006,6,0,2006,7,NA,2008,5,NA,NA,NA,NA,1,NA,NA,1,87,2,2,2,2,0,0,0,1,3,2,1,NA,NA,NA,0,0,1,11.0833330154419,NA,0.793209075927734,1,0,2006.04162597656,2006.45837402344,36,0.416748046875,2006.54162597656,0.083251953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,87,2,4,0,0,0,0,1,0,9,7.5,14,17
6,2648857,1,1.2597,98682,1.3507,1.2524,98110,0.418555974960327,29052,5,0,1,2,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,1,1,1991,9,12,4,9,2,0,NA,0,4,NA,2,78,3,79,4,NA,NA,NA,NA,79,6,2,NA,NA,4,1,18,1,2,NA,2,2,0,0,0,1,0,2,1,NA,NA,NA,7,1,1,1,2,6,28,2,1,8,1,1,2,0,3,1,11,5,1,2,4,1,0,0,0,0,3,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,1,26,9,12,4,9,1,1,2,0,0,4,NA,2,2012,3,0,2013,4,0,NA,NA,NA,NA,NA,2013,6,NA,NA,4,1,17,1,80,2,NA,2,2,0,0,0,1,2,NA,1,NA,NA,NA,0,0,0,NA,NA,0.588978052139282,3,1,2012.20837402344,2013.29162597656,23,1.083251953125,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,80,1,NA,0,0,0,0,1,0,16,12,12,12
7,2623465,1,0.8686,68044,NA,0.8636,67652,0.976521790027618,67781,13,0,1,2,1,NA,NA,1,NA,1,NA,1,1,59,12,11,7,13,1,0,NA,1,NA,2,NA,1,NA,49,9,49,10,50,8,50,8,1,NA,NA,3,NA,2,2,2,2,0,0,0,1,0,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,1,2,5,59,5,3,12,4,1,2,1,4,1,19,1,1,3,5,1,0,0,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,1,1,59,12,11,7,13,1,1,1,0,1,2,1,NA,1983,9,0,1983,10,0,1984,8,NA,1984,8,NA,NA,NA,NA,1,NA,NA,3,648,2,2,2,2,0,0,0,1,1,1,1,NA,NA,NA,0,0,1,33.75,NA,0.956191182136536,1,1,1983.70837402344,1983.79162597656,25,0.083251953125,1984.625,0.8333740234375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,818,3,5,0,0,1,0,1,0,14,17,16,16
9,2917189,1,0.8815,69054,1.8263,0.8765,68663,0.565935254096985,39282,8,0,1,2,1,NA,NA,1,NA,2,2,1,1,60,12,9,4,9,2,0,NA,1,NA,NA,5,1,NA,47,12,48,6,48,6,48,6,4,4,NA,3,NA,2,NA,2,2,0,0,0,1,0,1,2,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,2,1,1,2,59,5,3,9,2,1,1,1,2,1,14,1,1,3,5,1,0,0,0,0,2,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,1,1,60,12,9,4,9,1,1,2,0,1,5,1,NA,1981,12,0,1982,6,0,1982,6,NA,1982,6,NA,NA,NA,NA,4,4,NA,3,107,2,NA,2,2,0,0,0,1,1,2,1,NA,NA,NA,0,0,1,35.0833320617676,NA,0.796365320682526,1,0,1981.95837402344,1982.45837402344,23,0.5,1982.45837402344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,107,2,4,0,0,0,0,1,0,12,12,16,12
10,2919423,1,0.8381,65655,NA,0.8333,65279,0.942259788513184,65402,14,0,1,2,1,NA,NA,1,NA,1,NA,1,1,67,10,9,3,4,1,0,NA,1,NA,1,NA,1,NA,32,10,33,1,35,8,35,8,1,NA,NA,3,NA,2,NA,1,2,1,1,1,0,0,1,1,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,1,2,2,66,6,4,9,2,1,2,1,2,1,12,1,1,2,4,1,0,0,0,0,2,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,1,1,67,10,9,3,4,1,1,1,0,1,1,1,NA,1966,10,0,1967,1,0,1969,8,NA,1969,8,NA,NA,NA,NA,1,NA,NA,3,111,2,NA,1,2,1,1,1,0,1,1,1,NA,NA,NA,0,0,1,50.5,NA,0.922642529010773,1,1,1966.79162597656,1967.04162597656,15,0.25,1969.625,2.5833740234375,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,111,4,5,0,1,0,0,1,0,12,7.5,13,12
11,2936569,1,0.7752,60727,NA,0.7708,60383,0.871587514877319,60497,8,0,1,2,1,NA,NA,1,NA,1,NA,1,1,65,14,9,5,9,1,2,NA,1,NA,1,NA,1,NA,33,5,33,6,36,8,36,8,1,NA,NA,3,NA,1,2,1,2,1,1,1,0,0,1,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,1,-2,6,65,6,4,11,3,1,2,1,2,2,13,1,0,2,4,1,0,0,0,0,2,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,1,1,65,14,9,5,9,1,1,1,2,1,1,1,NA,1967,5,0,1967,6,0,1970,8,NA,1970,8,NA,NA,NA,NA,1,NA,NA,3,143,1,2,1,2,1,1,1,0,1,1,1,NA,NA,NA,0,0,1,50.0833320617676,NA,0.853441536426544,1,1,1967.375,1967.45837402344,15,0.0833740234375,1970.625,3.1666259765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,143,2,5,0,0,0,0,1,0,12,12,20,14
12,1840651,2,NA,NA,NA,0.9731,76230,1.10033965110779,76375,0,1,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,NA,NA,27,2,1,12,4,1,1,1,2,1,17,5,1,2,3,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07743120193481,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16
13,1840371,1,1.0973,85960,NA,1.091,85466,1.23365581035614,85628,15,0,1,2,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,1945,8,1,5,3,1,20,NA,0,1,NA,2,47,9,48,10,NA,NA,NA,NA,NA,NA,2,49,9,1,NA,NA,3,2,NA,1,2,1,1,1,0,0,1,1,NA,NA,NA,7,1,1,1,2,1,65,6,4,9,2,4,2,0,1,2,6,5,1,4,8,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,NA,2,5,72,8,1,5,3,1,1,1,20,0,1,NA,2,1981,9,0,1982,10,0,NA,NA,NA,NA,NA,NA,NA,1983,9,1,NA,NA,3,181,2,NA,1,2,1,1,1,0,1,NA,1,NA,NA,NA,0,0,0,NA,NA,1.20797181129456,3,1,1981.70837402344,1982.79162597656,29,1.083251953125,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,2,NA,1,0,0,0,5,0,0,5.5,12,12
